Las Animas County,Las Animas,Colorado,14446
Lincoln County,Lincoln,Colorado,5430
Logan County,Logan,Colorado,22450
Mesa County,Mesa,Colorado,147554
Mineral County,Mineral,Colorado,721
Moffat County,Moffat,Colorado,13103
Montezuma County,Montezuma,Colorado,25642
Montrose County,Montrose,Colorado,40713
Morgan County,Morgan,Colorado,28404
Otero County,Otero,Colorado,18703
Ouray County,Ouray,Colorado,4557
Park County,Park,Colorado,16121
Phillips County,Phillips,Colorado,4356
Pitkin County,Pitkin,Colorado,17379
Prowers County,Prowers,Colorado,12291
Pueblo County,Pueblo,Colorado,161451
Rio Blanco County,Rio Blanco,Colorado,6807
Rio Grande County,Rio Grande,Colorado,11803
Routt County,Routt,Colorado,23513
Saguache County,Saguache,Colorado,6208
San Juan County,San Juan,Colorado,692
San Miguel County,San Miguel,Colorado,7678
Sedgwick County,Sedgwick,Colorado,2360
Summit County,Summit,Colorado,28649
Teller County,Teller,Colorado,23275
Washington County,Washington,Colorado,4803
Weld County,Weld,Colorado,269785
Yuma County,Yuma,Colorado,10151
Fairfield County,Fairfield,Connecticut,939904
Hartford County,Hartford,Connecticut,898272
Litchfield County,Litchfield,Connecticut,186924
Middlesex County,Middlesex,Connecticut,165562
New Haven County,New Haven,Connecticut,862287
New London County,New London,Connecticut,274150
Tolland County,Tolland,Connecticut,151377
Windham County,Windham,Connecticut,117604
Kent County,Kent,Delaware,169416
New Castle County,New Castle,Delaware,549684
Sussex County,Sussex,Delaware,206649
District of Columbia,District of Columbia,District of Columbia,646449
Alachua County,Alachua,Florida,253451
Baker County,Baker,Florida,27013
Bay County,Bay,Florida,174987
Bradford County,Bradford,Florida,26850
Brevard County,Brevard,Florida,550823
Broward County,Broward,Florida,1838844
Calhoun County,Calhoun,Florida,14682
Charlotte County,Charlotte,Florida,164736
Citrus County,Citrus,Florida,139271
Clay County,Clay,Florida,196399
Collier County,Collier,Florida,339642
Columbia County,Columbia,Florida,67543
DeSoto County,DeSoto,Florida,34517
Dixie County,Dixie,Florida,15940
Duval County,Duval,Florida,885855
Escambia County,Escambia,Florida,305817
Flagler County,Flagler,Florida,99956
Franklin County,Franklin,Florida,11598
Gadsden County,Gadsden,Florida,46194
Gilchrist County,Gilchrist,Florida,16931
Glades County,Glades,Florida,13345
Gulf County,Gulf,Florida,15829
Hamilton County,Hamilton,Florida,14354
Hardee County,Hardee,Florida,27519
Hendry County,Hendry,Florida,37471
Hernando County,Hernando,Florida,174441
Highlands County,Highlands,Florida,97616
